,0,1,2,3,awair_device_uuid,awair_mac_address,description,details,device_class,device_id,facilities_tag,gateway_id,location_general,location_specific,receiver,time,value
5532,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:06:28-05:00,620.0
5533,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:06:38-05:00,623.0
5534,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:06:48-05:00,626.0
5535,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:06:58-05:00,630.0
5536,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:07:08-05:00,633.0
5537,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:07:18-05:00,636.0
5538,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:07:28-05:00,639.0
5539,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:07:38-05:00,641.0
5540,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:07:48-05:00,644.0
5541,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:07:58-05:00,648.0
5542,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:08:08-05:00,653.0
5543,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:08:18-05:00,656.0
5544,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:08:28-05:00,660.0
5545,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:08:38-05:00,664.0
5546,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:08:48-05:00,668.0
